Date,Description,Amount
2024-01-15,Salary Deposit,2100.00
2024-01-16,Rent Payment,-1500.00
2024-01-20,Netflix Subscription,-15.99
2024-01-25,Electric Bill,-120.50
2024-01-29,Salary Deposit,2050.00
2024-02-01,Internet Bill,-85.00
2024-02-05,Grocery Store,-245.30
2024-02-12,Salary Deposit,2100.00
2024-02-15,Rent Payment,-1500.00
2024-02-20,Netflix Subscription,-15.99
2024-02-25,Electric Bill,-135.75
2024-02-28,Salary Deposit,2050.00
2024-03-01,Internet Bill,-85.00
2024-03-05,Gas Bill,-45.20
2024-03-12,Salary Deposit,2100.00
2024-03-15,Rent Payment,-1500.00
2024-03-20,Netflix Subscription,-15.99
2024-03-25,Electric Bill,-110.25
2024-03-28,Salary Deposit,2050.00
